Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Integrating artificial intelligence and analytics in smart grids: a systematic literature review,8.22,9.15,11.7,8.08,9.57,9.14,9.52,7.48,9.54
How do credit markets react to earnings releases? Empirical analysis and implications for investors,3.01,2.82,2.54,4.23,3.4,2.28,2.6,3.07,3.67
A Comparative Study of Machine Learning Approaches for Non Performing Loan Prediction,6.01,6.34,5.85,5.38,7.45,5.27,5.19,5.64,6.36
Project performance analysis using hierarchical clustering method,2.81,0.7,3.56,3.08,8.51,3.34,3.9,2.82,2.69
A hybrid energy systemworkflow for energy portfolio optimization,9.42,7.04,12.47,10.38,10.21,10.19,9.52,9.33,9.54
Accelerating Hydrocarbon Maturation and Project Delivery by 30% with Digitalization - Standardizing on the Fly Analysis to Enable Informed Decision Making Using Petabytes of Petro Technical Data,7.62,11.27,12.47,8.85,9.79,9.31,8.23,7.12,11.25
Assessment of Systems Requirements Specification Skills Based on an Industry Body of Knowledge,5.21,5.63,5.09,5.0,4.89,4.75,6.06,3.93,4.4
DEVISING SCIENTIFIC AND METHODOLOGICAL TOOLS TO STRENGTHEN THE ECONOMIC SECURITY OF A REGION THROUGH THE IMPROVEMENT OF TECHNOLOGIES FOR MARKETING SUPPORT OF TOURISM,6.21,7.75,8.14,5.77,6.6,7.03,6.93,6.13,7.82
Risk optimisation analytics: A case study on Brown Research Associates India (BRAI),5.01,4.93,3.82,3.85,4.26,4.22,4.33,4.17,5.62
Constructing Insights on Learning Analytic Student Activity Data from an Online Undergraduate Construction Management Course,5.21,3.52,4.83,6.15,4.68,4.92,4.76,3.93,6.36
Process Mining for Six Sigma: Utilising Digital Traces,5.81,4.23,7.38,8.85,5.96,7.21,5.63,4.79,8.07
Application of enhanced RPB tool in Malaysian oilfields for gas injection RF benchmarking and analogue identification,8.02,4.93,8.4,6.92,7.23,7.03,6.49,6.75,8.8
Research on the Construction Method of Intelligent Prediction and Analysis Model for the Whole Process of Power Grid Project Cost,4.41,7.75,5.34,5.38,6.17,5.62,6.93,4.29,6.11
A risk prediction model for software project management based on similarity analysis of context histories,5.21,7.75,9.67,7.69,7.45,7.56,3.9,6.13,7.33
Associative classification model for forecasting stock market trends,4.41,4.23,6.36,4.62,4.47,3.34,3.03,3.07,5.13
Information and algorithmic support of a multi-level integrated system for the investment strategies formation,6.01,4.23,8.14,7.31,7.02,7.03,4.76,7.12,10.02
Resilience of business strategy to emergent and future conditions,8.62,12.68,7.63,9.23,8.3,8.79,10.39,7.24,11.25
Closed-Loop Data Analytics for Wells Construction Management in Real Time Centre,9.02,9.15,9.92,10.0,9.15,8.44,11.69,7.73,9.78
Big Data IAOM Project Management and Workflow Automation in a Giant Gas Field Digitization Drive,13.03,9.86,12.72,15.38,11.28,10.02,12.12,8.96,14.67
"Organization and IT Strategic Alignment, Determination of IT Process Priorities using COBIT 5",9.02,8.45,8.65,11.15,8.09,7.38,9.52,6.99,8.07
Knowledge learning of insurance risks using dependence models,7.01,7.04,7.12,7.31,6.81,6.85,6.93,6.38,8.56
Development of a Digital ESP Performance Monitoring System Based on Artificial Intelligence,8.62,6.34,8.91,9.23,8.72,7.21,9.09,6.87,10.02
"Data Science for Water Cut Analysis System by Utilizing ESP Sensor Data, Conceptual Model, and Its Proposed Solution",13.23,9.86,14.76,14.62,13.83,13.88,16.88,11.53,14.91
Accurate response in agricultural supply chains,5.41,7.75,5.6,4.23,4.89,4.22,3.03,3.8,5.62
Agile Auditing: Fundamentals and Applications,3.21,3.52,4.07,3.46,3.83,4.75,2.6,4.42,4.89
How to measure and manage the UK Government’s major project portfolio,5.01,4.23,5.85,7.31,6.17,5.1,6.06,8.22,7.58
Agile Project Management Based on Data Analysis for Information Management Systems,7.01,7.04,7.63,7.31,7.87,7.21,8.23,6.01,6.36
The effect of Bellwether analysis on software vulnerability severity prediction models,7.21,9.15,7.89,6.92,8.09,7.73,6.49,7.24,7.58
"CONNECTING SYSTEMS SCIENCE, THINKING, DYNAMICS AND ENGINEERING TO SYSTEMS PRACTICE FOR MANAGING COMPLEXITY",13.63,13.38,15.52,20.38,15.11,15.47,13.42,12.52,15.16
Systematic Market and Asset Liquidity Risk Processes for Machine Learning: Robust Modeling Algorithms for Multiple-Assets Portfolios,5.81,5.63,6.62,6.92,5.53,6.85,8.23,5.64,6.6
A cross-sectional machine learning approach for hedge fund return prediction and selection,4.41,4.23,5.09,5.77,5.96,4.22,4.33,4.79,4.16
Semantic enrichment of building and city information models: A ten-year review,6.01,6.34,7.89,8.08,6.17,5.8,9.52,5.15,7.33
Front end work process digital transformation: Challenges and opportunities,8.82,11.27,9.67,10.77,9.79,9.31,10.82,7.85,10.51
Pricing service maintenance contracts using predictive analytics,3.81,5.63,5.09,5.38,4.26,4.39,3.03,4.17,4.65
Mean–variance portfolio optimization using machine learning-based stock price prediction,5.61,3.52,6.11,5.38,5.11,5.62,2.6,4.42,6.85
Situational analysis of complex offshore network for strategizing sequence for green field development,11.02,9.15,12.21,9.62,10.21,12.3,10.39,9.45,13.69
Stock selection strategy based on double objective programming,6.81,6.34,5.85,6.15,5.74,4.75,6.06,5.52,7.33
Application of Features and Neural Network to Enhance the Performance of Deep Reinforcement Learning in Portfolio Management,6.81,6.34,8.14,7.69,7.45,7.03,6.93,6.01,7.82
Priorities for science to overcome hurdles thwarting the full promise of the ‘digital agriculture’ revolution,6.81,11.27,6.87,10.0,7.45,7.73,9.96,6.5,9.05
Mapping socially responsible investing: A bibliometric and citation network analysis,5.61,4.93,7.12,6.92,5.53,6.15,6.93,5.52,7.82
Design of a process mining alignment method for building big data analytics capabilities,4.61,5.63,5.6,7.31,5.53,5.45,8.23,4.91,4.65
Manhole cover detection on rasterized mobile mapping point cloud data using transfer learned fully convolutional neural networks,4.01,4.23,5.85,4.62,6.17,4.57,5.19,4.29,3.67
A model to manage cooperative projects risks to create knowledge and drive sustainable business,7.82,12.68,9.67,9.23,7.66,8.44,11.69,7.12,9.29
"Big data, technology capability and construction project quality: a cross-level investigation",7.62,6.34,8.4,11.54,8.3,7.91,9.09,7.98,9.05
Disc cutter wear prediction based on the friction work principle,4.01,4.23,4.58,3.85,4.47,3.87,3.9,3.44,3.67
Curriculum development to acquire analytical competencies using an industry BOK,4.81,2.82,4.58,6.54,5.11,5.1,5.63,3.93,5.13
Data Query Method of Science and Technology Management Based on Relational Engine,4.01,4.23,5.09,5.38,4.68,4.75,5.63,3.93,5.38
Mapping bioenergy stakeholders: A systematic and scientometric review of capabilities and expertise in bioenergy research in the United Kingdom,5.21,9.86,6.36,7.31,5.53,6.15,6.06,5.28,8.31
Digital Transformation Journey of Field Operations at Abu Dhabi Offshore Field in UAE,8.42,11.97,10.18,9.62,9.79,9.31,8.66,7.12,10.51
Construction Cost Control Method Based on BIM information Integration Platform,5.21,5.63,5.85,4.62,5.96,5.8,8.23,4.05,5.62
VIAProMa: An Agile Project Management Framework for Mixed Reality,4.21,2.82,4.83,5.38,6.17,5.1,6.06,5.03,5.87
SLD Instrumentation in Icing Wind Tunnels – Investigation Overview,4.61,5.63,6.87,6.15,5.53,5.1,6.49,4.42,4.65
Develop JMP 16_Based STEAMS and Six Sigma DMAIC Training Curriculum for Data Scientist,4.41,5.63,5.85,5.38,5.53,5.1,4.76,4.66,7.58
Effect of Corner Strength Enhancement on Shear Behaviour of Stainless Steel Lipped Channel Sections,4.41,2.82,5.09,3.08,3.83,3.69,4.33,3.68,3.42
Multimedia Portfolio Behavior Analysis Based on Bayesian Game Algorithm,5.81,7.75,5.6,5.77,5.53,4.75,5.19,4.42,5.87
What Are the Critical Success Factors for Agile Analytics Projects?,3.81,4.93,3.56,4.62,2.98,2.81,4.33,2.82,5.13
A Deep Residual Shrinkage Neural Network-based Deep Reinforcement Learning Strategy in Financial Portfolio Management,4.41,3.52,6.11,4.23,4.89,4.39,4.76,4.05,4.4
Intel realizes $25 billion by applying advanced analytics from product architecture design through supply chain planning,4.61,4.93,6.11,8.08,6.6,5.45,4.76,5.4,5.87
Optimizing healthcare,6.21,7.75,6.62,8.46,6.38,5.98,10.82,5.77,6.36
Benchmarking and visualization of building portfolios by applying text analytics to maintenance work order logs,4.81,4.93,6.87,6.54,5.53,5.27,4.33,4.42,4.16
Financial Time Series Prediction Model Based Recurrent Neural Network,4.81,2.82,5.6,6.54,4.89,5.62,6.06,4.05,5.13
Making sense of business analytics in project selection and prioritisation: insights from the start-up trenches,6.41,7.75,7.63,10.77,6.81,7.21,9.09,5.89,9.29
The Five Elements of AI to Leverage Data and Dominate Your Industry,5.21,4.93,6.11,6.54,3.62,4.92,5.19,3.8,6.6
A survey study of success factors in data science projects,7.01,6.34,7.89,5.77,6.81,6.85,6.49,5.4,16.63
Digital field development planning: A collaboration between technology & process to enable fast and efficient field development planning,12.42,14.79,12.47,15.38,12.34,11.6,11.26,10.06,14.43
Features extraction of wind ramp events from a virtual wind park,8.62,9.86,9.16,7.31,8.3,7.91,8.66,5.89,8.31
"Using Data Analytics and Visualization Dashboard for Engineering, Procurement, and Construction Project's Performance Assessment",10.82,9.15,10.18,11.92,9.79,8.96,9.96,7.36,10.76
Data-driven methodology to support long-lasting logistics and decision making for urban last-mile operations,8.22,12.68,10.43,7.69,9.15,8.79,12.12,7.61,9.78
Review of recent advances in petroleum fluid properties and their representation,7.62,7.75,8.65,8.08,8.3,7.91,7.36,5.77,8.8
Optimal Portfolio Construction of Islamic Financing Instrument in Malaysia,3.41,2.82,4.07,2.31,3.62,4.04,1.73,3.68,3.91
"15th International Conference on Knowledge Management in Organizations, KMO 2021",8.42,12.68,9.41,10.0,8.09,7.56,12.55,6.87,10.02
ADVANCED ENTERPRISE ASSET MANAGEMENT SYSTEMS: IMPROVE PREDICTIVE MAINTENANCE and ASSET PERFORMANCE by LEVERAGING INDUSTRY 4.0 and the INTERNET of THINGS (IOT),5.81,2.82,6.62,6.15,6.38,5.98,9.09,4.54,6.85
Risk and uncertainty in team building: Evidence from a professional basketball market,3.41,4.23,3.31,3.46,3.62,4.22,2.16,3.07,4.65
Assessment of sustainable integration of new products into value chain through a generic decision support model: An application to the forest value chain,7.01,16.2,8.4,10.0,9.36,8.08,10.82,7.61,9.78
Analysis of the effectiveness of the successive concessions method to solve the problem of diversification,5.61,7.04,7.38,5.38,7.02,5.98,4.76,6.01,6.11
Design Comorbidity Portfolios to Improve Treatment Cost Prediction of Asthma Using Machine Learning,8.62,7.04,8.91,8.46,8.51,8.26,8.23,6.99,8.56
Big Data in Smart Infrastructure,6.21,4.93,6.62,6.92,6.17,7.73,11.26,6.13,7.58
"Realistic interplays between data science and chemical engineering in the first quarter of the 21st century, part 2: Dos and don'ts",7.62,5.63,7.38,7.69,5.96,7.21,8.23,6.01,7.58
Value Extracting in Relative Performance Appraisal with Network DEA: An Application to U.S. Equity Mutual Funds,6.61,9.15,6.11,6.92,6.81,7.91,9.52,6.99,7.82
Realizing value from shadow analytics: A case study,5.61,7.75,4.83,7.31,4.68,4.92,6.93,4.29,5.87
Data-driven approaches in FinTech: a survey,5.21,4.93,5.34,6.54,5.96,5.98,6.49,6.26,6.85
Optimization of energy consumption in chemical production based on descriptive analytics and neural network modeling,5.21,7.04,8.65,5.0,6.17,5.45,5.63,5.03,6.36
Application of a New Hybrid MCDM Technique Combining Grey Relational Analysis with AHP-TOPSIS in Ranking of Stocks in the Indian IT Sector,5.81,5.63,7.63,6.15,6.6,6.68,5.19,5.89,9.54
Implementing machine learning for finance: A systematic approach to predictive risk and performance analysis for investment portfolios,4.61,2.82,5.6,5.38,7.66,6.33,4.33,5.28,7.09
"15th International Conference on Dynamical Systems: Theory and Applications, 2019",6.21,10.56,9.67,6.54,8.51,7.56,7.36,6.99,8.07
Patent-trademark linking framework for business competition analysis,4.81,8.45,6.36,8.08,4.68,5.1,6.93,4.42,4.89
Technologies for Advancing Offshore Enhanced Oil Recovery Capabilities,5.21,4.23,6.36,5.0,5.74,5.27,6.93,5.15,8.07
"Digital Water: Enabling a More Resilient, Secure and Equitable Water Future",6.21,7.04,7.12,6.92,4.68,6.33,5.63,4.79,5.62
Project duration-cost-quality prediction model based on Monte Carlo simulation,3.21,4.93,4.07,1.92,5.11,3.69,4.33,3.07,11.0
Key resources for industry 4.0 adoption and its effect on sustainable production and circular economy: An empirical study,6.81,12.68,6.87,10.0,5.74,5.98,9.96,5.4,8.56
Corporate Governance Efficiency: Automation of Corporate Governance Procedures,2.81,3.52,2.54,4.62,2.55,6.33,2.16,3.07,1.96
The influence of digital technologies on supply chain coordination strategies,9.62,16.2,13.74,15.77,10.64,12.13,12.99,9.69,13.94
Planning for Unknown in The New Age of Digital: A Paradigm for Offshore Oil and Gas Risk Assessment and Management,12.42,14.79,16.54,14.23,13.62,12.65,13.85,11.41,13.69
Analysis of Success Factors Ranking: Machine Learning Projects of E-Commerce in Indonesia,5.61,5.63,7.89,7.31,6.17,7.73,6.49,4.66,7.58
Par munis: Sub-par performance,2.81,2.82,2.8,4.62,3.62,3.69,2.6,3.8,4.65
"Strategic Management, Decision Theory, and Decision Science: Contributions to Policy Issues",4.01,7.04,6.36,7.69,5.96,5.45,7.79,5.15,7.09
Effect of data privacy and security investment on the value of big data firms,5.61,5.63,5.6,6.15,4.04,5.1,4.76,4.42,6.36
The Use of Features to Enhance the Capability of Deep Reinforcement Learning for Investment Portfolio Management,4.61,3.52,5.09,4.62,4.68,4.57,3.03,3.56,4.4
Clean manufacturing powered by biology: how Amyris has deployed technology and aims to do it better,3.21,4.93,3.56,4.23,3.19,3.87,3.46,3.07,4.4
Leveraging purchase regularity for predicting customer behavior the easy way,5.21,5.63,7.12,9.23,5.53,5.45,6.93,5.52,7.33
An uncertainty-based framework for technology portfolio selection for future aircraft program,3.81,4.93,3.56,3.85,2.98,3.69,3.46,2.94,4.16
Optimal drawdown for Woodford and mayes in the Anadarko Basin using data analytics,7.01,6.34,8.91,8.08,7.45,6.33,6.49,6.13,8.07
Price series cross-correlation analysis to enhance the diversification of itemset-based stock portfolios,4.81,3.52,6.36,5.38,6.38,4.75,4.76,4.42,3.42
"27th European Conference on Systems, Software and Services Process Improvement, EuroSPI 2020",7.21,14.08,9.92,9.62,9.15,7.21,10.82,6.13,8.56
Sizing a renewable microgrid for flow shop manufacturing using climate analytics,6.01,2.82,7.38,5.38,6.81,6.15,6.93,4.66,6.36
Medical device portfolio cleanup,4.81,5.63,6.36,4.23,5.53,6.5,4.76,4.66,7.82
Ontology-based knowledge representation for industrial megaprojects analytics using linked data and the semantic web,4.01,4.23,5.6,3.85,5.32,5.98,7.79,4.42,5.87
Boosting Insights in Insurance Tariff Plans with Tree-Based Machine Learning Methods,5.21,7.04,5.09,5.38,5.96,5.45,4.76,5.28,5.62
Stock Market Prediction and Portfolio Optimization Using Data Analytics,4.01,2.82,4.07,3.08,3.62,3.34,2.16,3.19,4.65
Data Analysis of Readiness Programs of Machine-Building Enterprises,4.01,4.93,4.58,3.85,4.68,5.45,4.33,4.05,4.16
A predictive modeling approach to estimating seismic retrofit costs,3.81,3.52,4.58,3.46,4.89,4.92,3.46,3.56,5.62
Artificial intelligence for ETF market prediction and portfolio optimization,5.81,2.82,7.12,5.77,4.68,4.75,6.06,5.52,7.33
A Categorization of Cloud-Based Services and their Security Analysis in the Healthcare Sector,4.21,7.75,5.85,5.0,4.47,4.22,5.63,4.42,5.13
The digital twin in a brownfield environment: How to manage dark data,6.21,5.63,7.89,9.23,6.38,7.73,7.79,6.01,9.29
SKI: An Agile Framework for Data Science,3.61,1.41,2.8,4.23,2.98,3.16,5.19,2.58,3.91
Software project failures prediction using logistic regression modeling,4.81,0.7,5.85,3.85,5.74,5.1,4.33,4.42,5.62
Systems Thinking in Software Projects-an Artificial Neural Network Approach,6.41,2.11,6.36,9.23,6.38,5.98,8.23,5.28,7.09
Revisiting the Roles of Structural Engineering Design Professionals under Their Increasing Risks and Associated Liabilities,7.01,7.04,8.65,10.38,7.02,6.5,7.36,6.63,10.02
Application of Advanced Data Analytics in the Audit Process,3.81,3.52,3.82,3.46,3.4,3.87,3.46,3.68,4.4
The secure act and your retirement objectives,1.4,1.41,1.78,2.69,1.7,1.93,2.16,1.35,2.2
Request for information frequency and their turnaround time in construction projects: A data-analytic study,4.21,5.63,5.09,7.31,5.53,5.62,5.19,5.4,7.58
Ten caveats of learning analytics in health professions education: A consumer’s perspective,5.41,4.23,4.33,6.15,3.62,4.39,5.19,3.93,5.13
IT-Application behaviour analysis: Predicting critical system states on openstack using monitoring performance data and log files,4.41,2.11,6.11,5.38,7.23,5.1,4.33,3.8,5.87
Prediction-Based Portfolio Optimization Models Using Deep Neural Networks,5.21,4.93,7.12,5.77,6.81,5.45,4.33,4.54,5.13
